,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
63,1962,Ken Kesey,[],"['Classics', 'Fiction', 'Psychology']",https://www.goodreads.com/book/show/4214.Life_of_Pi,325,651255,4.19,11728,One Flew Over the Cuckoo's Nest,0
64,2001,Yann Martel,"['Booker Prize (2002)', 'Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003)', 'Exclusive Books Boeke Prize (2003)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001)"", 'Lincoln Award Nominee (2005)', 'Deutscher Bücherpreis for Belletristik (2004)', 'CBC Canada Reads Nominee (2003)', 'Luisterboek Award Nominee (2015)', ""QWF (Quebec Writer's Federation) Award for Paragraphe Hugh MacLennan Prize for Fiction (2001)"", 'Asian/Pacific American Award for Literature for Adult Fiction (2003)']","['Fiction', 'Fantasy', 'Classics']",https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,460,1390436,3.92,47973,Life of Pi,0
65,,Dr. Seuss,[],"['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/191139.Oh_the_Places_You_ll_Go_,44,348138,4.33,5509,"Oh, the Places You'll Go!",0
66,1877,Leo Tolstoy,['PEN Translation Prize for Richard Pevear & Larissa Volokhonsky (2002)'],"['Fiction', 'Romance', 'Cultural']",https://www.goodreads.com/book/show/15823480-anna-karenina,964,696076,4.06,25809,Anna Karenina,0
67,1959,Daniel Keyes,"['Hugo Award Nominee for Best Novel (1967)', 'Nebula Award for Best Novel (tie) (1966)', 'Locus Award Nominee for All-Time Best Novel (36th in poll) (1975)']","['Fiction', 'Classics', 'Science Fiction']",https://www.goodreads.com/book/show/35031085-frankenstein,216,505489,4.15,20290,Flowers for Algernon,0
68,1818,Mary Wollstonecraft Shelley,[],"['Classics', 'Fiction', 'Horror']",https://www.goodreads.com/book/show/36576608-flowers-for-algernon,288,1219362,3.82,36399,Frankenstein: The 1818 Text,0
69,1926,A.A. Milne,[],"['Classics', 'Childrens', 'Fiction']",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,145,287084,4.31,5093,Winnie-the-Pooh,1
70,1985,Margaret Atwood,"['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)', 'Los Angeles Times Book Prize for Fiction (1986)', 'Prometheus Award Nominee for Best Novel (1987)', 'James Tiptree Jr. Award Nominee for Retrospective (1995)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985)"", 'SF Chronicle Award Nominee for Novel (1987)', ""Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987)"", 'CBC Canada Reads Nominee (2002)', 'Metų verstinė knyga Nominee (2012)']","['Fiction', 'Classics', 'Science Fiction']",https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,314,1557874,4.12,74553,The Handmaid's Tale,1
71,1997,Mitch Albom,[],"['Nonfiction', 'Autobiography', 'Memoir']",https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,210,818466,4.12,27468,Tuesdays with Morrie,0
72,1954,J.R.R. Tolkien,['Publieksprijs voor het Nederlandse Boek Nominee (2002)'],"['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring,527,2441028,4.37,24800,The Fellowship of the Ring,1
73,1969,Kurt Vonnegut Jr.,"['Hugo Award Nominee for Best SF Novel (1970)', 'Nebula Award Nominee for Best Novel (1969)', 'National Book Award Finalist for Fiction (1970)', ""Chicago Publishers' Award (1970)""]","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,275,1173167,4.08,28430,Slaughterhouse-Five,0
74,1961,Joseph Heller,['National Book Award Finalist for Fiction (1962)'],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/168668.Catch_22,453,745469,3.98,19026,Catch-22,1
75,1952,Ernest Hemingway,"['Pulitzer Prize for Fiction (1953)', 'Premio Bancarella (1953)', 'National Book Award Finalist for Fiction (1953)']","['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,96,878824,3.79,26865,The Old Man and the Sea,0
76,1850,Nathaniel Hawthorne,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,279,728584,3.42,15257,The Scarlet Letter,0
77,1606,William Shakespeare,[],"['Classics', 'Plays', 'Fiction']",https://www.goodreads.com/book/show/8852.Macbeth,249,703961,3.91,11922,Macbeth,0
78,2005,Stephenie Meyer,"['Georgia Peach Book Award (2007)', 'Buxtehuder Bulle (2006)', 'Kentucky Bluegrass Award for 9-12 (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008)"", 'Garden State Book Award for Fiction (Grades 9-12) (2008)', 'South Carolina Book Award for Young Adult Book Award (2008)', 'Grand Canyon Reader Award for Teen Book (2008)', 'Maryland Black-Eyed Susan Book Award for High School (2008)', 'Golden Sower Award for Young Adult (2009)', ""Nevada Young Readers' Award for Young Adult Category  (2007)"", ""The Flume: New Hampshire Teen Reader's Choice Award (2007)"", ""Pennsylvania Young Readers' Choice Award for Young Adult (2009)"", 'Rhode Island Teen Book Award (2007)', 'Evergreen Teen Book Award (2008)', 'Michigan Library Association Thumbs Up! Award Nominee (2006)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007)', 'Iowa High School Book Award (2008)', 'Eliot Rosewater Indiana High School Book Award (2008)', 'Lincoln Award (2008)', 'Literaturpreis der Jury der jungen Leser for Cover (2007)', 'Prix Et-lisez-moi (2008)', 'Missouri Gateway Readers Award (2008)']","['Young Adult', 'Fantasy', 'Romance']",https://www.goodreads.com/book/show/41865.Twilight,501,5205621,3.61,107225,Twilight,1
79,2003,Audrey Niffenegger,"['Arthur C. Clarke Award Nominee (2005)', 'Orange Prize Nominee for Fiction Longlist (2004)', 'British Book Award (2006)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005)', 'Exclusive Books Boeke Prize (2005)', 'ALA Alex Award (2004)']","['Fiction', 'Romance', 'Fantasy']",https://www.goodreads.com/book/show/7604.Lolita,500,1619557,3.98,47975,The Time Traveler's Wife,0
80,1922,Hermann Hesse,[],"['Classics', 'Fiction', 'Philosophy']",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,152,613891,4.04,18781,Siddhartha,0
81,1915,Franz Kafka,[],"['Classics', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/52036.Siddhartha,201,693081,3.83,19726,The Metamorphosis,0
82,1942,Albert Camus,['PEN Translation Prize for Matthew Ward (1989)'],"['Classics', 'Fiction', 'Philosophy']",https://www.goodreads.com/book/show/485894.The_Metamorphosis,123,755360,3.99,25275,The Stranger,0
83,1947,Margaret Wise Brown,[],"['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/49552.The_Stranger,32,320375,4.28,6076,Goodnight Moon,1
84,1943,Betty  Smith,['Audie Award for Classic (2002)'],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/32929.Goodnight_Moon,496,400608,4.27,21559,A Tree Grows in Brooklyn,0
85,1865,Leo Tolstoy,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,1392,275666,4.12,12316,War and Peace,1
86,1998,J.K. Rowling,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'British Book Award (1999)', 'Prijs van de Jonge Jury (2002)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006)', 'Colorado Blue Spruce Young Adult Book Award (2008)', 'Golden Archer Award for Middle/Junior High (2008)', 'Nestlé Smarties Book Prize for 9–11 years (1998)']","['Fantasy', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/656.War_and_Peace,341,2904901,4.43,56503,Harry Potter and the Chamber of Secrets,1
87,1971,Laura Ingalls Wilder,[],"['Classics', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,2700,144541,4.34,2264,The Little House Collection,1
88,1962,Anthony Burgess,['Prometheus Hall of Fame Award (2008)'],"['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/114345.The_Little_House_Collection,213,623913,3.99,14628,A Clockwork Orange,0
89,1929,Erich Maria Remarque,['Luisterboek Award Nominee (2015)'],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/41817486-a-clockwork-orange,296,367338,3.99,11116,All Quiet on the Western Front,1
90,1978,Stephen King,"['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']","['Horror', 'Fiction', 'Fantasy']",https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front,1152,646373,4.34,22440,The Stand,0
91,1851,Harriet Beecher Stowe,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin,438,204435,3.88,8146,Uncle Tom's Cabin,0
92,1605,Miguel de Cervantes Saavedra,"['Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication (2014)', 'Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία (2010)', 'Premio de traducción literaria Valle Inclán for John Rutherford (2002)']","['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/3836.Don_Quixote,1023,221258,3.88,8660,Don Quixote,0
93,1957,Ayn Rand,"['Prometheus Hall of Fame Award (1983)', 'National Book Award Finalist for Fiction (1958)']","['Fiction', 'Classics', 'Philosophy']",https://www.goodreads.com/book/show/646462._,1078,361725,3.69,17828,Atlas Shrugged,0
94,,Anonymous,[],"['Religion', 'Religion', 'Islam']",https://www.goodreads.com/book/show/662.Atlas_Shrugged,604,59042,4.35,3146,القرآن الكريم,0
95,1830,Anonymous,[],"['Religion', 'Nonfiction', 'Christianity']",https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,531,77516,4.32,6021,The Book of Mormon: Another Testament of Jesus Christ,0
96,1879,Fyodor Dostoyevsky,[],"['Classics', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/323355.The_Book_of_Mormon,796,255569,4.32,11994,The Brothers Karamazov,1
97,1998,Barbara Kingsolver,"['Pulitzer Prize Nominee for Fiction (1999)', 'Orange Prize Nominee for Fiction Shortlist (1999)', 'Book Sense Book of the Year Award for Adult (2000)', 'PEN/Faulkner Award for Fiction Nominee (1999)', 'Independent Publisher Book Award (IPPY) for Audio Fiction - Unabridged (1999)', 'Exclusive Books Boeke Prize (2000)', 'Puddly Award for Novel (2001)', 'International Dublin Literary Award Nominee (2000)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,546,672550,4.07,23753,The Poisonwood Bible,0
98,1851,Herman Melville,"['Audie Award for Solo Narration - Male (2006)', 'Премія імені Максима Рильського (1991)']","['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale,654,491913,3.51,16621,"Moby-Dick or, the Whale",0
