,url,title,author,num_reviews,num_ratings,avg_ratings,original_publish_year,series,genres,awards,num_pages,award_number,mean_norm_ratings,min_max
590,https://www.goodreads.com/book/show/296662.Lies_My_Teacher_Told_Me,The Age of Innocence,Edith Wharton,7257,144134,3.95,1920,False,"['Classics', 'Fiction', 'Historical']",['Pulitzer Prize for Novel (1921)'],293,1,-0.08,5.0
591,https://www.goodreads.com/book/show/11012.Dubliners,Dubliners,James Joyce,6199,127848,3.85,1914,False,"['Classics', 'Fiction', 'Short Stories']",[],207,1,-0.15,4.41
592,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,15747,511837,3.94,2005,False,"['Nonfiction', 'Psychology', 'Business']",[],296,1,-0.09,4.94
593,https://www.goodreads.com/book/show/24800.House_of_Leaves,House of Leaves,Mark Z. Danielewski,11797,142868,4.05,0,False,"['Horror', 'Fiction', 'Fantasy']","['Bram Stoker Award Nominee for Best First Novel (2000)', 'Locus Award Nominee for Best First Novel (2001)', 'New York Public Library Young Lions Fiction Award (2001)', 'Guardian First Book Award Nominee (2000)', 'James Tait Black Memorial Prize Nominee for Fiction (2000)', 'International Horror Guild Award Nominee for Best First Novel (2000)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2014)']",710,7,-0.02,5.59
594,https://www.goodreads.com/book/show/40102.Blink,Song of Solomon,Toni Morrison,4209,90720,4.09,1977,False,"['Fiction', 'Classics', 'Historical']","['Janet Heidinger Kafka Prize (1977)', 'National Book Critics Circle Award for Fiction (1977)']",337,2,0.01,5.82
595,https://www.goodreads.com/book/show/6088007-neuromancer,Neuromancer,William Gibson,10129,272590,3.9,1984,True,"['Science Fiction', 'Fiction', 'Science Fiction']","['Hugo Award for Best Novel (1985)', 'Nebula Award for Best Novel (1984)', 'Locus Award Nominee for Best First Novel and Best SF Novel (1985)', 'British Science Fiction Association Award Nominee for Best Novel (1984)', 'Philip K. Dick Award (1985)', 'John W. Campbell Memorial Award Nominee (1985)', 'Ditmar Award for Best International Long Fiction (1985)', 'SF Chronicle Award for Novel (1985)', 'Tähtivaeltaja Award (1992)', 'Prix Aurora Award Nominee (1985)', 'Seiun Award 星雲賞 for Best Translated Long Story (1987)']",292,11,-0.12,4.71
596,https://www.goodreads.com/book/show/11334.Song_of_Solomon,Crossroads and the Dominion of Four,C. Toni Graham,26,7045,4.29,0,True,"['Fiction', 'Novels', 'Young Adult']",[],340,1,0.14,7.0
597,https://www.goodreads.com/book/show/76334.A_New_Earth,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,7838,167458,4.09,2005,False,"['Spirituality', 'Nonfiction', 'Self Help']",[],316,1,0.01,5.82
598,https://www.goodreads.com/book/show/36954958-crossroads-and-the-dominion-of-four,For the Love of Armin,Michael G. Kramer,29,1488,4.32,2015,False,"['Fiction', 'Adventure', 'Novels']",[],325,1,0.16,7.18
599,https://www.goodreads.com/book/show/35642518-for-the-love-of-armin,In Our Bones,Pernell Plath Meier,56,6292,4.29,0,False,"['Contemporary', 'Fiction', 'Novels']",[],266,1,0.14,7.0
