,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
14,,J.K. Rowling,"['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']","['Fantasy', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,759,2959944,4.62,68464,Harry Potter and the Deathly Hallows,1
15,1597,William Shakespeare,[],"['Classics', 'Plays', 'Fiction']",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,301,2135511,3.75,20443,Romeo and Juliet,0
16,2003,Khaled Hosseini,"['Borders Original Voices Award for Fiction (2003)', ""Humo's Gouden Bladwijzer (2008)"", 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Puddly Award for Fiction (2006)', 'Lincoln Award Nominee (2006)', 'Prix des libraires du Québec for Lauréats hors Québec (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/77203.The_Kite_Runner,371,2538612,4.31,76685,The Kite Runner,0
17,1993,Lois Lowry,"['Newbery Medal (1994)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1994)"", 'Golden Duck Award for Young Adult (Hal Clement Award) (1994)', 'Garden State Book Award for Teen Fiction Grades 6-8 (1996)', ""Buckeye Children's Book Award for Grade 6-8 (1997)"", 'Grand Canyon Reader Award for Teen Book (1995)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995)', 'Golden Sower Award for Young Adult (1995)', ""Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995)"", 'Soaring Eagle Book Award Nominee (1996)', ""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996)"", 'Boston Globe-Horn Book Award Nominee for Fiction (1993)', 'New Mexico Land of Enchantment Award (1997)', 'Eliot Rosewater Indiana High School Book Award (1997)', ""William Allen White Children's Book Award (1996)"", 'Wyoming Indian Paintbrush Nominee (1996)', ""NSK Neustadt Prize for Children's Literature Nominee (2013)"", 'Oklahoma Sequoyah Award for YA (1996)', ""Rebecca Caudill Young Readers' Book Award (1996)"", 'Hea Lasteraamat (2010)', 'Premi Protagonista Jove for Categoria 13-14 anys (2016)', 'Margaret A. Edwards Award (2007)']","['Young Adult', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/3636.The_Giver,208,1885612,4.13,67053,The Giver,1
18,1964,Shel Silverstein,[],"['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/370493.The_Giving_Tree,64,948550,4.37,18549,The Giving Tree,0
19,1952,E.B. White,"['Newbery Medal Nominee (1953)', ""George C. Stone Center for Children's Books Recognition of Merit Award (1970)"", 'Audie Award Nominee for Audiobook of the Year and Middle Grade (2020)', ""Massachusetts Children's Book Award (1984)"", 'Laura Ingalls Wilder Award (1970)']","['Classics', 'Childrens', 'Fiction']",https://www.goodreads.com/book/show/24178.Charlotte_s_Web,184,1491987,4.17,19001,Charlotte's Web,0
20,1868,Louisa May Alcott,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/2767052-the-hunger-games,449,1756857,4.10,32989,Little Women,1
21,,Suzanne Collins,"['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Children's Book Award for Older Readers & Overall (2010)"", 'South Carolina Book Award for Junior and Young Adult Book (2011)', 'Charlotte Award (2010)', 'Colorado Blue Spruce Young Adult Book Award (2010)', 'Teen Buckeye Book Award (2009)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2010)"", 'Rhode Island Teen Book Award (2010)', ""Dorothy Canfield Fisher Children's Book Award (2010)"", 'Evergreen Teen Book Award (2011)', 'Soaring Eagle Book Award (2009)', 'Milwaukee County Teen Book Award Nominee (2010)', 'Sakura Medal for Middle School Book (2010)', 'Michigan Library Association Thumbs Up! Award (2009)', 'Florida Teens Read (2009)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010)', 'Iowa High School Book Award (2011)', 'New Mexico Land of Enchantment Award for Young Adult (2011)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'The Inky Awards for Silver Inky (2009)', 'California Young Readers Medal for Young Adult (2011)', 'Lincoln Award (2011)', 'Kinderboekwinkelprijs (2010)', 'Missouri Truman Readers Award (2011)', 'CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Prix Et-lisez-moi (2011)', 'Missouri Gateway Readers Award (2011)', 'Oklahoma Sequoyah Award for High School and Intermediate (2011)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', ""Rebecca Caudill Young Readers' Book Award (2011)"", 'LovelyBooks Leserpreis for Fantasy (2009)', 'LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', 'Premi Protagonista Jove for Categoria 13-14 anys (2010)']","['Young Adult', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/1934.Little_Women,374,6686353,4.32,175518,The Hunger Games,1
22,1937,John Steinbeck,"[""New York Drama Critics' Circle Award for Best American Play (1938)""]","['Classics', 'Fiction', 'Academic']",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,103,2028711,3.88,36321,Of Mice and Men,0
23,1937,J.R.R. Tolkien,"['Keith Barker Millennium Book Award', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997)', 'Mythopoeic Scholarship Award for Inklings Studies (1990)']","['Fantasy', 'Classics', 'Fiction']",https://www.goodreads.com/book/show/890.Of_Mice_and_Men,366,3044854,4.28,51238,"The Hobbit, or There and Back Again",1
